,,,,2,3,2,3,,,,,,,,,,,,,
,Content ID,Type,Datetime,Content Type,Category,Sentiment,Score,,Unique Category,Total Reactions,Total Score,,Top 5 Category ,,,Datetime,Month,,Month,Most Used Months
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,photo,Studying,negative,0,,Studying,1363,54219,,Category,Score,,11/7/2020 9:43,November,,January,2126
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,photo,Studying,negative,10,,healthy eating,1717,69271,1,Animals,75394,,6/17/2021 12:22,June,,February,1914
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,photo,Studying,negative,15,,technology,1698,68820,2,science,71240,,4/18/2021 5:13,April,,March,2012
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,photo,Studying,negative,0,,food,1699,66952,3,healthy eating,69271,,1/6/2021 19:13,January,,April,1973
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,photo,Studying,positive,30,,cooking,1664,64778,4,technology,68820,,8/23/2020 12:25,August,,May,2138
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,photo,Studying,neutral,35,,dogs,1338,52412,5,food,66952,,12/7/2020 6:27,December,,June,2020
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,photo,Studying,positive,70,,soccer,1457,57977,,,,,4/11/2021 17:35,April,,July,2070
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,photo,Studying,negative,5,,public speaking,1217,49101,,,,,1/27/2021 8:32,January,,August,2113
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,photo,Studying,neutral,35,,science,1796,71240,,,,,4/1/2021 22:54,April,,September,2022
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05,photo,Studying,positive,65,,tennis,1328,50200,,,,,8/4/2020 5:05,August,,October,2056
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,photo,Studying,neutral,20,,travel,1647,65138,,,,,11/7/2020 8:36,November,,November,2033
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,photo,Studying,negative,15,,fitness,1395,55201,,,,,11/2/2020 6:28,November,,December,2091
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,photo,Studying,positive,30,,education,1433,57681,,,,,11/1/2020 1:16,November,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,photo,Studying,negative,5,,veganism,1248,48840,,,,,10/7/2020 18:39,October,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,photo,Studying,negative,15,,Animals,1897,75394,,,,,9/3/2020 18:51,September,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,photo,Studying,positive,75,,culture,1676,66421,,,,,2/24/2021 5:09,February,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,photo,Studying,neutral,35,,,,,,,,,9/23/2020 6:24,September,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,photo,Studying,neutral,20,,,,,,,,,2/24/2021 11:37,February,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,photo,Studying,positive,30,,,,,,,,,5/22/2021 19:44,May,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03,photo,Studying,positive,45,,,,,,,,,1/31/2021 16:03,January,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,photo,Studying,neutral,35,,,,,,,,,11/20/2020 17:26,November,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47,photo,Studying,negative,12,,,,,,,,,4/11/2021 20:47,April,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46,photo,Studying,positive,50,,,,,,,,,6/13/2021 16:46,June,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29,photo,Studying,positive,60,,,,,,,,,4/11/2021 14:29,April,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21,photo,Studying,negative,12,,,,,,,,,3/2/2021 19:21,March,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44,photo,Studying,negative,5,,,,,,,,,6/27/2020 18:44,June,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 21:05,photo,Studying,negative,5,,,,,,,,,5/9/2021 21:05,May,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 23:58,photo,Studying,positive,70,,,,,,,,,8/4/2020 23:58,August,,,
